,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
49,Djibouti,2020-11-29 12:27:23,11.8251,42.5903,5676.0,61.0,5577.0,38.0,574.4927641846879,,,1.0747004933051445,262,DJI
50,Dominica,2020-11-29 12:27:23,15.415,-61.371,85.0,0.0,63.0,22.0,118.0703143448487,,,0.0,212,DMA
51,Dominican Republic,2020-11-29 12:27:23,18.7357,-70.1627,142653.0,2328.0,114317.0,26008.0,1315.0282303383215,,,1.6319320308721164,214,DOM
52,Ecuador,2020-11-29 12:27:23,-1.8312,-78.1834,190909.0,13371.0,164009.0,13529.0,1082.062862111221,,,7.003860478028799,218,ECU
53,Egypt,2020-11-29 12:27:23,26.820553000000004,30.802498,115183.0,6621.0,102490.0,6072.0,112.55550100780869,,,5.748244098521483,818,EGY
54,El Salvador,2020-11-29 12:27:23,13.7942,-88.8965,38405.0,1111.0,35078.0,2216.0,592.1031432729267,,,2.8928524931649524,222,SLV
55,Equatorial Guinea,2020-11-29 12:27:23,1.6508,10.2679,5153.0,85.0,5009.0,59.0,367.2883174089531,,,1.6495245488065204,226,GNQ
56,Eritrea,2020-11-29 12:27:23,15.1794,39.7823,577.0,0.0,498.0,79.0,16.26989643379097,,,0.0,232,ERI
57,Estonia,2020-11-29 12:27:23,58.5953,25.0136,12052.0,112.0,7010.0,4930.0,908.5296399125847,,,0.9293063391968138,233,EST
58,Eswatini,2020-11-29 12:27:23,-26.5225,31.4659,6406.0,121.0,5987.0,298.0,552.1633148416948,,,1.888854199188261,748,SWZ
59,Ethiopia,2020-11-29 12:27:23,9.145,40.4897,108930.0,1695.0,68250.0,38985.0,94.75174412405012,,,1.5560451666207655,231,ETH
60,Fiji,2020-11-29 12:27:23,-17.7134,178.065,38.0,2.0,33.0,3.0,4.238970867114957,,,5.2631578947368425,242,FJI
61,Finland,2020-11-29 12:27:23,61.9241,25.7482,24629.0,393.0,16800.0,7436.0,444.5091773304472,,,1.5956798895610864,246,FIN
62,France,2020-11-29 12:27:23,46.2276,2.2137,2260789.0,52212.0,166715.0,2041862.0,3463.5626776141603,,,2.3094592197679655,250,FRA
63,Gabon,2020-11-29 12:27:23,-0.8037,11.6094,9191.0,59.0,9037.0,95.0,412.94354027086877,,,0.6419323251006419,266,GAB
64,Gambia,2020-11-29 12:27:23,13.4432,-15.3101,3731.0,123.0,3590.0,18.0,154.38637725393352,,,3.2967032967032965,270,GMB
65,Georgia,2020-11-29 12:27:23,42.3154,43.3569,132368.0,1230.0,110049.0,21089.0,3318.1798241491033,,,0.9292276078810588,268,GEO
66,Germany,2020-11-29 12:27:23,51.165691,10.451526,1052494.0,16198.0,720117.0,316179.0,1256.2000989569065,,,1.5390111487571425,276,DEU
67,Ghana,2020-11-29 12:27:23,7.9465,-1.0232,51379.0,323.0,50298.0,758.0,165.34963132718832,,,0.6286615154051266,288,GHA
68,Greece,2020-11-29 12:27:23,39.0742,21.8243,103034.0,2223.0,23074.0,77737.0,988.5200655162939,,,2.1575402294388257,300,GRC
69,Grenada,2020-11-29 12:27:23,12.1165,-61.679,41.0,0.0,30.0,11.0,36.438290422062046,,,0.0,308,GRD
70,Guatemala,2020-11-29 12:27:23,15.7835,-90.2308,121798.0,4161.0,110209.0,7428.0,679.8445173407015,,,3.4163122547168263,320,GTM
71,Guinea,2020-11-29 12:27:23,9.9456,-9.6966,13039.0,76.0,11982.0,981.0,99.28581827839807,,,0.5828667842625969,324,GIN
72,Guinea-Bissau,2020-11-29 12:27:23,11.8037,-15.1804,2422.0,43.0,2309.0,70.0,123.06923076141338,,,1.7753922378199836,624,GNB
73,Guyana,2020-11-29 12:27:23,4.860416000000002,-58.93018000000001,5338.0,149.0,4317.0,872.0,678.6522053653954,,,2.7913076058448856,328,GUY
74,Haiti,2020-11-29 12:27:23,18.9712,-72.2852,9272.0,232.0,7951.0,1089.0,81.31526565193893,,,2.5021570319240727,332,HTI
75,Holy See,2020-11-29 12:27:23,41.9029,12.4534,27.0,0.0,15.0,12.0,3337.4536464771318,,,0.0,336,VAT
76,Honduras,2020-11-29 12:27:23,15.2,-86.2419,107513.0,2905.0,47638.0,56970.0,1085.4846552231045,,,2.7019988280487013,340,HND
77,Hungary,2020-11-29 12:27:23,47.1625,19.5033,211527.0,4672.0,55637.0,151218.0,2189.6411620696967,,,2.208701489644348,348,HUN
78,Iceland,2020-11-29 12:27:23,64.9631,-19.0208,5381.0,26.0,5168.0,187.0,1576.849816849817,,,0.4831815647649136,352,ISL
79,India,2020-11-29 12:27:23,20.593684,78.96288,9392919.0,136696.0,8802267.0,453956.0,680.6441415764052,,,1.4553090471662748,356,IND
80,Indonesia,2020-11-29 12:27:23,-0.7893,113.9213,534266.0,16815.0,445793.0,71658.0,195.32718894504544,,,3.1473086440087896,360,IDN
81,Iran,2020-11-29 12:27:23,32.427908,53.68804599999999,948749.0,47874.0,658292.0,242583.0,1129.557857074033,,,5.046013223729354,364,IRN
82,Iraq,2020-11-29 12:27:23,33.223191,43.679291,548821.0,12200.0,478537.0,58084.0,1364.462574594127,,,2.2229470082230818,368,IRQ
83,Ireland,2020-11-29 12:27:23,53.1424,-7.6921,71942.0,2050.0,23364.0,46528.0,1456.9658203781603,,,2.8495176670095352,372,IRL
84,Israel,2020-11-29 12:27:23,31.046051,34.851612,334988.0,2854.0,322211.0,9923.0,3870.2144672412737,,,0.8519708168650817,376,ISR
85,Italy,2020-11-29 12:27:23,41.8719,12.5674,1564532.0,54363.0,720861.0,789308.0,2587.6359543743865,,,3.4747132049711986,380,ITA
86,Jamaica,2020-11-29 12:27:23,18.1096,-77.2975,10669.0,251.0,5953.0,4465.0,360.2978696531529,,,2.352610366482332,388,JAM
87,Japan,2020-11-29 12:27:23,36.204824,138.252924,147494.0,2051.0,121735.0,23708.0,116.6177503168218,,,1.390565039933828,392,JPN
88,Jordan,2020-11-29 12:27:23,31.24,36.51,210709.0,2626.0,142710.0,65373.0,2065.1387710057884,,,1.2462685504653337,400,JOR
89,Kazakhstan,2020-11-29 12:27:23,48.0196,66.9237,130865.0,1990.0,116187.0,12688.0,696.9539440541944,,,1.5206510526114698,398,KAZ
90,Kenya,2020-11-29 12:27:23,-0.0236,37.9062,82605.0,1445.0,54399.0,26761.0,153.6228434127499,,,1.7492887839719145,404,KEN
91,"Korea, South",2020-11-29 12:27:23,35.90775700000001,127.766922,33824.0,523.0,27542.0,5759.0,65.97335479287821,,,1.5462393566698205,410,KOR
92,Kosovo,2020-11-29 12:27:23,42.602636,20.902977,38431.0,989.0,23754.0,13688.0,2122.8304110881445,,,2.573443313991309,383,XKS
93,Kuwait,2020-11-29 12:27:23,29.31166,47.481766,142426.0,878.0,136413.0,5135.0,3335.0637843300765,,,0.6164604777217643,414,KWT
94,Kyrgyzstan,2020-11-29 12:27:23,41.20438,74.766098,72427.0,1266.0,63789.0,7372.0,1110.129976268322,,,1.7479669184144035,417,KGZ
95,Laos,2020-11-29 12:27:23,19.85627,102.495496,39.0,0.0,24.0,15.0,0.5360415066559862,,,0.0,418,LAO
96,Latvia,2020-11-29 12:27:23,56.8796,24.6032,16975.0,197.0,1719.0,15059.0,899.9566324285522,,,1.1605301914580266,428,LVA
97,Lebanon,2020-11-29 12:27:23,33.8547,35.8623,125678.0,991.0,74950.0,49737.0,1841.316650262357,,,0.7885230509715304,422,LBN
98,Lesotho,2020-11-29 12:27:23,-29.61,28.2336,2109.0,44.0,1278.0,787.0,98.44780165918856,,,2.0862968231389285,426,LSO
99,Liberia,2020-11-29 12:27:23,6.4280550000000005,-9.429499,1595.0,83.0,1343.0,169.0,31.536217121022162,,,5.2037617554858935,430,LBR
100,Libya,2020-11-29 12:27:23,26.3351,17.228331,82430.0,1166.0,53266.0,27998.0,1199.6297054685679,,,1.4145335436127624,434,LBY
101,Liechtenstein,2020-11-29 12:27:23,47.14,9.55,1253.0,15.0,1024.0,214.0,3285.5232451425127,,,1.1971268954509178,438,LIE
102,Lithuania,2020-11-29 12:27:23,55.1694,23.8813,60193.0,493.0,14120.0,45580.0,2211.115564059831,,,0.8190321133686641,440,LTU
103,Luxembourg,2020-11-29 12:27:23,49.8153,6.1296,33409.0,300.0,24073.0,9036.0,5337.105575932624,,,0.8979616271064683,442,LUX
104,MS Zaandam,2020-11-29 12:27:23,,,9.0,2.0,0.0,7.0,,,,22.222222222222218,8888,
105,Madagascar,2020-11-29 12:27:23,-18.766947,46.869107,17341.0,251.0,16657.0,433.0,62.62319201759964,,,1.4474367106856585,450,MDG
106,Malawi,2020-11-29 12:27:23,-13.2543,34.3015,6025.0,185.0,5453.0,387.0,31.495108064812488,,,3.070539419087137,454,MWI
107,Malaysia,2020-11-29 12:27:23,4.210483999999999,101.975766,64485.0,357.0,52647.0,11481.0,199.23686579971985,,,0.5536171202605257,458,MYS
108,Maldives,2020-11-29 12:27:23,3.2028,73.2207,12947.0,46.0,11781.0,1120.0,2395.188532990961,,,0.35529466285626016,462,MDV
109,Mali,2020-11-29 12:27:23,17.570692,-3.996166000000001,4659.0,149.0,3138.0,1372.0,23.006459882096706,,,3.1981111826572226,466,MLI
110,Malta,2020-11-29 12:27:23,35.9375,14.3754,9752.0,133.0,7557.0,2062.0,2208.6384215210887,,,1.363822805578343,470,MLT
111,Marshall Islands,2020-11-29 12:27:23,7.1315,171.1845,4.0,0.0,1.0,3.0,6.8477907315152455,,,0.0,584,MHL
112,Mauritania,2020-11-29 12:27:23,21.0079,-10.9408,8458.0,172.0,7665.0,621.0,181.9057737555004,,,2.033577677938047,478,MRT
